path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?,file
src\alchemlyb\parsing\namd.py,C0301, line-too-long,25,0, , , , , , ,, ,alchemistry_alchemlyb_interventions_October_05_2024.csv
src\alchemlyb\parsing\namd.py,R0915, too-many-statements,1,0, , , , , , ,, ,alchemistry_alchemlyb_interventions_October_05_2024.csv
src\alchemlyb\parsing\namd.py,R1719, simplifiable-if-expression,1,0, , , , , , ,, ,alchemistry_alchemlyb_interventions_October_05_2024.csv
src\alchemlyb\parsing\gomc.py,C0325, superfluous-parens,3,0, , , , , , ,, ,alchemistry_alchemlyb_interventions_October_05_2024.csv
src\alchemlyb\parsing\amber.py,R0912, too-many-branches,1,0, , , , , , ,, ,alchemistry_alchemlyb_interventions_October_05_2024.csv
src\alchemlyb\parsing\amber.py,R0915, too-many-statements,2,0, , , , , , ,, ,alchemistry_alchemlyb_interventions_October_05_2024.csv
src\alchemlyb\visualisation\ti_dhdl.py,R0912, too-many-branches,1,0, , , , , , ,, ,alchemistry_alchemlyb_interventions_October_05_2024.csv
src\alchemlyb\workflows\__init__.py,R0801, duplicate-code,9,0, , , , , , ,, ,alchemistry_alchemlyb_interventions_October_05_2024.csv
src\python_rucaptcha\re_captcha.py,C0301, line-too-long,1,1,AndreiDrang/python-rucaptcha,https://github.com/AndreiDrang/python-rucaptcha/pull/307,No,Made a readable too long line shorter,8,"short and focused, documented, used type hints",5.0,Made a readable too long line shorter,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
src\python_rucaptcha\core\result_handler.py,W0718, broad-exception-caught,2,1,AndreiDrang/python-rucaptcha, ,Discuss, , , ,, ,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
src\python_rucaptcha\lemin_captcha.py,C0301, line-too-long,2,1,AndreiDrang/python-rucaptcha,https://github.com/AndreiDrang/python-rucaptcha/pull/307,No,Made two readable too long lines shorter,8,"short and focused, documented, used type hints and enum",5.0,Made two readable too long lines shorter,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
src\python_rucaptcha\tencent.py,C0301, line-too-long,2,1,AndreiDrang/python-rucaptcha,https://github.com/AndreiDrang/python-rucaptcha/pull/307,No,Made two readable too long lines shorter,8,"short and focused, documented, used type hints and enum",5.0,Made two readable too long lines shorter,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
src\python_rucaptcha\rotate_captcha.py,C0301, line-too-long,1,1,AndreiDrang/python-rucaptcha,https://github.com/AndreiDrang/python-rucaptcha/pull/307,No,Made a readable too long line shorter,8,"short and focused, documented, used type hints and enum",5.0,Made a readable too long line shorter,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
src\python_rucaptcha\mt_captcha.py,C0301, line-too-long,2,1,AndreiDrang/python-rucaptcha,https://github.com/AndreiDrang/python-rucaptcha/pull/307,No,Made two readable too long lines shorter,8,"short and focused, documented, used type hints and enum",5.0,Made two readable too long lines shorter,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
src\python_rucaptcha\key_captcha.py,C0301, line-too-long,1,1,AndreiDrang/python-rucaptcha,https://github.com/AndreiDrang/python-rucaptcha/pull/307,No,Made a readable too long line shorter,8,"short and focused, documented, used type hints and enum",5.0,Made a readable too long line shorter,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
src\python_rucaptcha\capy_puzzle.py,C0301, line-too-long,2,1,AndreiDrang/python-rucaptcha,https://github.com/AndreiDrang/python-rucaptcha/pull/307,No,Made two readable too long lines shorter,8,"short and focused, documented, used type hints and enum",5.0,Made two readable too long lines shorter,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
src\python_rucaptcha\datadome_captcha.py,C0301, line-too-long,2,1,AndreiDrang/python-rucaptcha,https://github.com/AndreiDrang/python-rucaptcha/pull/307,No,Made two readable too long lines shorter,8,"short and focused, documented, used type hints and enum",5.0,Made two readable too long lines shorter,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
src\python_rucaptcha\amazon_waf.py,C0301, line-too-long,1,1,AndreiDrang/python-rucaptcha,https://github.com/AndreiDrang/python-rucaptcha/pull/307,No,Made a readable too long line shorter,8,"short and focused, documented, used type hints and enum",5.0,Made a readable too long line shorter,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
src\python_rucaptcha\cutcaptcha.py,C0301, line-too-long,2,1,AndreiDrang/python-rucaptcha,https://github.com/AndreiDrang/python-rucaptcha/pull/307,No,Made two readable too long lines shorter,8,"short and focused, documented, used type hints and enum",5.0,Made two readable too long lines shorter,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
src\python_rucaptcha\hcaptcha.py,C0301, line-too-long,2,1,AndreiDrang/python-rucaptcha,https://github.com/AndreiDrang/python-rucaptcha/pull/307,No,Made two readable too long lines shorter,8,"short and focused, documented, used type hints and enum",5.0,Made two readable too long lines shorter,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
src\python_rucaptcha\turnstile.py,C0301, line-too-long,1,1,AndreiDrang/python-rucaptcha,https://github.com/AndreiDrang/python-rucaptcha/pull/307,No,Made a readable too long line shorter,8,"short and focused, documented, used type hints and enum",5.0,Made a readable too long line shorter,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
docs\conf.py,C0301, line-too-long,1,1,AndreiDrang/python-rucaptcha,https://github.com/AndreiDrang/python-rucaptcha/pull/307,No,Made a readable too long line shorter,8,"short and focused, documented, used type hints and enum",6.0,Structure is slightly more readable now,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
src\python_rucaptcha\bounding_box_captcha.py,C0301, line-too-long,5,0, , , , , , ,, ,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
src\python_rucaptcha\core\base.py,C0301, line-too-long,12,0, , , , , , ,, ,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
src\python_rucaptcha\core\base.py,W0718, broad-exception-caught,4,0, , , , , , ,, ,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
src\python_rucaptcha\core\result_handler.py,C0301, line-too-long,4,0, , , , , , ,, ,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
src\python_rucaptcha\friendly_captcha.py,C0301, line-too-long,3,0, , , , , , ,, ,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
src\python_rucaptcha\atb_captcha.py,C0301, line-too-long,3,0, , , , , , ,, ,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
src\python_rucaptcha\audio_captcha.py,C0301, line-too-long,4,0, , , , , , ,, ,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
src\python_rucaptcha\cyber_siara_captcha.py,C0301, line-too-long,3,0, , , , , , ,, ,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
src\python_rucaptcha\text_captcha.py,C0301, line-too-long,3,0, , , , , , ,, ,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
src\python_rucaptcha\coordinates_captcha.py,C0301, line-too-long,5,0, , , , , , ,, ,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
src\python_rucaptcha\fun_captcha.py,C0301, line-too-long,5,0, , , , , , ,, ,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
src\python_rucaptcha\image_captcha.py,C0301, line-too-long,5,0, , , , , , ,, ,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
src\python_rucaptcha\draw_around_captcha.py,C0301, line-too-long,5,0, , , , , , ,, ,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
src\python_rucaptcha\grid_captcha.py,C0301, line-too-long,5,0, , , , , , ,, ,AndreiDrang_python-rucaptcha_interventions_October_05_2024.csv
hasher.py,C0325, superfluous-parens,1,1,bl4de/security-tools, ,Yes,Removed unneeded parenthesis in if,7,regular script,6.0,a bit less complex,bl4de_security-tools_interventions_October_04_2024.csv
virustotal.py,C0325, superfluous-parens,1,1,bl4de/security-tools, ,Yes,Removed unneeded parenthesis in if,6,"hard coded urls, magic numbers",6.0,a bit less complex,bl4de_security-tools_interventions_October_04_2024.csv
nodestructor\nodestructor.py,W0718, broad-exception-caught,1,1,bl4de/security-tools, ,Discuss,Not clear which exceptions are expected, , ,, ,bl4de_security-tools_interventions_October_04_2024.csv
denumerator\denumerator.py,R0912, too-many-branches,2,1,bl4de/security-tools, ,Yes," The main function had 13 branches while it is recommended to have at most 12.
I extracted one function, _set_output_directory.
This is a minimal change fixing the alert. Enumerate_domains had 15 branches while 12 are recommended.
I removed the handling of UnicodeError and subprocess.TimeoutExpired which just pass, as the else.
I also extracted _handle_nmap",5,"500+ LOC, hard coded a lot of HTML",6.0,"removed unneeded exceptions, a bit more structure",bl4de_security-tools_interventions_October_04_2024.csv
xmlrpc_amplif_bruteforce.py,C0301, line-too-long,2,1,bl4de/security-tools, ,Yes,Made 2 readable lines shorter,6,magic numbers and strings,5.0,made two readable lines shorter,bl4de_security-tools_interventions_October_04_2024.csv
redir_gen\redirgen.py,C0301, line-too-long,1,1,bl4de/security-tools, ,Yes,Made a readable line shorter,7,regular script,5.0,Made a readable line shorter,bl4de_security-tools_interventions_October_04_2024.csv
jwt_decoder.py,C0301, line-too-long,2,1,bl4de/security-tools, ,Discuss, , , ,, ,bl4de_security-tools_interventions_October_04_2024.csv
ip_generator.py,C0301, line-too-long,1,1,bl4de/security-tools, ,Yes,Made a readable line shorter,6,magic numbers,5.0,Made a readable line shorter,bl4de_security-tools_interventions_October_04_2024.csv
Vi\vi.py,W0107,unnecessary-pass,2,1,bl4de/security-tools, ,Yes, Removed two unnecessary pass commands. They look like leftovers.,7,regular script,6.0,commands might be a bit confusing,bl4de_security-tools_interventions_October_04_2024.csv
hexview\hexview.py,R0916, too-many-boolean-expressions,1,1,bl4de/security-tools, ,Yes," If had 6 terms, it is recommended not to have more than 5. I extracted the logic of checking two variable, making the logic more structured.",5,"400+ LOC, magic numbers, unclear variables names",6.0,logic is a bit more structured,bl4de_security-tools_interventions_October_04_2024.csv
diggit\diggit.py,W0107,unnecessary-pass,1,1,bl4de/security-tools, ,Yes," print_banner comment says that it should print the credits but it implementation is just pass. I removed the function and the single call to it, giving the same credit in less code.",7,regular script,6.0,removed a function implemented as pass,bl4de_security-tools_interventions_October_04_2024.csv
hasher.py,C0301, line-too-long,1,0, , , , , , ,, ,bl4de_security-tools_interventions_October_04_2024.csv
apache-tomcat-login-bruteforce.py,C0301, line-too-long,3,0, , , , , , ,, ,bl4de_security-tools_interventions_October_04_2024.csv
virustotal.py,W0401, wildcard-import,1,0, , , , , , ,, ,bl4de_security-tools_interventions_October_04_2024.csv
pef\pef.py,C0301, line-too-long,5,0, , , , , , ,, ,bl4de_security-tools_interventions_October_04_2024.csv
denumerator\denumerator.py,C0301, line-too-long,15,0, , , , , , ,, ,bl4de_security-tools_interventions_October_04_2024.csv
denumerator\denumerator.py,R1719, simplifiable-if-expression,1,0, , , , , , ,, ,bl4de_security-tools_interventions_October_04_2024.csv
pef\imports\pefdocs.py,C0301, line-too-long,62,0, , , , , , ,, ,bl4de_security-tools_interventions_October_04_2024.csv
Vi\vi.py,R0801, duplicate-code,3,0, , , , , , ,, ,bl4de_security-tools_interventions_October_04_2024.csv
hexview\hexview.py,C0301, line-too-long,7,0, , , , , , ,, ,bl4de_security-tools_interventions_October_04_2024.csv
hexview\hexview.py,W0104, pointless-statement,1,0, , , , , , ,, ,bl4de_security-tools_interventions_October_04_2024.csv
diggit\diggit.py,R1719, simplifiable-if-expression,1,0, , , , , , ,, ,bl4de_security-tools_interventions_October_04_2024.csv
src\rinoh\stylesheets\matcher.py,W0401, wildcard-import,1,1,brechtm/rinohtype, ,Discuss," Code uses from rinoh.styleds import * This hides the imoported objects and might lead to collisions in the future if objects of the same name are imported with wildcards.  styleds is a collection of imports, aimed to ease related imports. I copied the used imports from there and deleted the unused ones.  This adds many imports and does not  benefits from styleds, so this is a downside of fixing this alert.",6,"rather long, no methods or structure",4.0,too many imports added,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\font\type1.py,R0912, too-many-branches,1,1,brechtm/rinohtype, ,Yes, The constructor of AdobeFontMetricsParser had 14 branches. I extracted _process_line with the content of the loop going over lines.,7,rather regular,6.0,extracted method coupled with its caller,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\style.py,R1702, too-many-nested-blocks,1,1,brechtm/rinohtype, ,Yes," The method write_log had 6 nesting levels, while the recommendation is at most 5. I extracted two nested methods,  _log_entries and in it _handle_source. The methods extraction also fixed too-many-branches and too-many-statements in that method.",5,"1,000+ LOC",9.0,"Less complex code – nesting, branches, and statements",brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\font\opentype\required.py,R0912, too-many-branches,1,1,brechtm/rinohtype, ,Yes," The constructors, that handles many format values, had too many branches. I extracting handling format 4 into a dedicated method.",6,magic numbers,8.0,"clearer code, yet related to original method",brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\reference.py,R0912, too-many-branches,1,1,brechtm/rinohtype, ,Yes," Method children had many branches computing the text variable. I extracted those base on the type value into _handle_type and replaces these branches with a single one, checking if the type is relevant.",6,unclear type magic numbers,6.0,there is still coupling due to dependency in type values,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\attribute.py,R0912, too-many-branches,1,1,brechtm/rinohtype, ,Yes, Method __new__ of the class WithAttributes had too many branches. I extracted a static method _handle_bases handing base classes logic.,6,"rather long file, with a few classes",7.0,"clearer code, too many parameter in extracted method, some are modified",brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\element.py,W0107,unnecessary-pass,1,1,brechtm/rinohtype, ,Discuss, Method build_document of class DocumentElement has empty documentation of pass. It is implemented in subclasses. Might be better to enforce it by raising NotImplementedError., , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\__main__.py,R0915, too-many-statements,1,1,brechtm/rinohtype, ,Yes, The function main had 116 statements (more than the recommended limit of 50). Most code handle different unrelated args so I extracted methods for them.,6,rather long file,8.0,more structure,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\highlight.py,W0125,using-constant-test,1,1,brechtm/rinohtype, ,Discuss,"Import a function, call it in if without proper parameters.", , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\image.py,C0325, superfluous-parens,2,1,brechtm/rinohtype, ,Yes,Remove two unneeded parenthesis ,6,"rather long file, with a few classes",6.0,minor improvement,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\templates\article.py,W0104, pointless-statement,1,1,brechtm/rinohtype, ,No,the statement modifies a member, , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\font\opentype\cff.py,C0301, line-too-long,2,1,brechtm/rinohtype, ,Yes,Made two readable line shorter,5,"unrelated code, undocumented magic numbers",5.0,lines were readable before,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\backend\pdf\filter.py,R0912, too-many-branches,1,1,brechtm/rinohtype, ,Yes, Function run_length_encoder had 14 branches (limit is 12). Extracted the _handle_byte function,6,"long file, magic numbers, unrelated code",6.0,extracted method coupled with its caller,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\frontend\rst\nodes.py,W0104, pointless-statement,1,1,brechtm/rinohtype, ,Discuss, , , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\table.py,C0325, superfluous-parens,1,1,brechtm/rinohtype, ,Yes,remove unneeded parenthesis ,6,"long file, many classes",6.0,removed unneeded parenthesis,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\frontend\sphinx\nodes.py,W0125,using-constant-test,1,1,brechtm/rinohtype, ,Discuss,as above, , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\backend\pdf\xobject\purepng.py,R0911, too-many-return-statements,1,1,brechtm/rinohtype, ,Yes," Function check_time had 7 returns I kept the return value and return it in the end of the function, avoiding too many point of exit. Other than the return there is also an exception in case the the type is not supported.",5,3000+ LOC,6.0,less return yet still many cases,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\flowable.py,R0912, too-many-branches,1,1,brechtm/rinohtype, ,Yes, Method render of class LabeledFlowable had 14 branches. Extracted the method _compute_spillover to structure and reduce branches,6,"1000+ LOC, few classes",5.0,extracted method coupled with its caller,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\font\mapping.py,C0302, too-many-lines,1,1,brechtm/rinohtype,,Yes," File indeed has many lines. A single dictionary has 1,000+ lines. However it is a reference of other Adobbe structure. Moving the data to csv won’t help and prevent python check of data. There are other references in to same file so they can moved. That will not solve the basic problem thought the connection between the parts seems modorate.", , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\hyphenator.py,C0325, superfluous-parens,1,1,brechtm/rinohtype, ,Discuss," __all__ = (""Hyphenator"") while it should be a list (e.g. __all__ = [""Hyphenator""]). Seems like a bug. https://stackoverflow.com/questions/44834/what-does-all-mean-in-python", , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\paragraph.py,R1702, too-many-nested-blocks,1,1,brechtm/rinohtype, ,Yes, Method _spans_to_words of class ParagraphState had 7 nesting levels. I extracted _process_groups that goes over the groups to reduce that.,4,"method is a mess with many variables and parts interacting with each other. This is in a 1,000+ LOC file",6.0,code is a bit better but the extracted method has many parameters due to the interactions.,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\backend\pdf\cos.py,C0302, too-many-lines,1,1,brechtm/rinohtype, ,Discuss,"File has 1,023 lines, above the recommended 1,000. File has many small classes, starting with base ones like Integer. It seems that the file will benefit from splitting the classes into some files. However, the choice of files requires more familiarity with its content. ", , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\util.py,W0104, pointless-statement,1,1,brechtm/rinohtype, ,No,Comment explains that the line checks the weakref, , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\backend\pdf\reader.py,R1702, too-many-nested-blocks,1,1,brechtm/rinohtype, ,Yes, Method read_dictionary_or_stream of class PDFObjectReader had 6 nesting levels. I extracted _handle_filter that takes only the dictionary as a parameter and encapsulates the creation of the stream_filter.,6,"long file, some magic strings",9.0,extraction is clean. Method gets one parameter. Also fixes too-many-branches,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\style.py,C0302, too-many-lines,1,0, , , , , , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\style.py,R0912, too-many-branches,1,0, , , , , , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\style.py,R0915, too-many-statements,1,0, , , , , , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\__main__.py,R0912, too-many-branches,1,0, , , , , , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\__main__.py,R1702, too-many-nested-blocks,1,0, , , , , , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\frontend\rst\nodes.py,R0911, too-many-return-statements,1,0, , , , , , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\frontend\sphinx\nodes.py,R0912, too-many-branches,1,0, , , , , , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\frontend\sphinx\nodes.py,W0718, broad-exception-caught,1,0, , , , , , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\backend\pdf\xobject\purepng.py,C0302, too-many-lines,1,0, , , , , , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\backend\pdf\xobject\purepng.py,C0325, superfluous-parens,6,0, , , , , , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\backend\pdf\xobject\purepng.py,R0912, too-many-branches,5,0, , , , , , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\backend\pdf\xobject\purepng.py,R0915, too-many-statements,2,0, , , , , , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\backend\pdf\xobject\purepng.py,W0104, pointless-statement,2,0, , , , , , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\flowable.py,R0915, too-many-statements,1,0, , , , , , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\template.py,W0104, pointless-statement,3,0, , , , , , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\paragraph.py,C0302, too-many-lines,1,0, , , , , , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\paragraph.py,R0912, too-many-branches,3,0, , , , , , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\paragraph.py,R0915, too-many-statements,2,0, , , , , , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
src\rinoh\backend\pdf\reader.py,R0912, too-many-branches,3,0, , , , , , ,, ,brechtm_rinohtype_interventions_October_04_2024.csv
util\join-multiline-rules\join.py,C0301, line-too-long,1,1,coreruleset/coreruleset,Won’t fix,No,a long readable comment line. Line describes output hence splitting it will be misleading. ,5,code is not in a function,4.0,Breaking the line will not fit the output,coreruleset_coreruleset_interventions_September_27_2024.csv
util\crs-rules-check\rules-check.py,C0325, superfluous-parens,1,1,coreruleset/coreruleset,https://github.com/coreruleset/coreruleset/pull/3837,Yes," Code calls  del(self.undef_txvars[-1]) While it works, while it works, del is a python keyword and not a function. Hence it is better to call del self.undef_txvars[-1]  See https://www.w3schools.com/python/ref_keyword_del.asp ",4,"A very long file, uses magic numbers, if a==False, variables called a and d",6.0,Might have pedagogic value,coreruleset_coreruleset_interventions_September_27_2024.csv
